run,layer,epoch,mdk_lambda0
MS_partA_flow_mdk_s0,2,31,0.12186172604560852
MS_partA_flow_mdk_s0,2,32,0.11486372351646423
MS_partA_flow_mdk_s0,2,33,0.11704038083553314
MS_partA_flow_mdk_s0,2,34,0.10944601893424988
MS_partA_flow_mdk_s0,2,35,0.10042950510978699
MS_partA_flow_mdk_s0,2,36,0.09880331158638
MS_partA_flow_mdk_s0,2,37,0.09388628602027893
MS_partA_flow_mdk_s0,2,38,0.09469982981681824
MS_partA_flow_mdk_s0,2,39,0.092532217502594
MS_partA_flow_mdk_s0,2,40,0.08789485692977905
MS_partA_flow_mdk_s1,0,1,0.43952131271362305
MS_partA_flow_mdk_s1,0,2,0.46268075704574585
MS_partA_flow_mdk_s1,0,3,0.4421217441558838
MS_partA_flow_mdk_s1,0,4,0.4522716999053955
MS_partA_flow_mdk_s1,0,5,0.44476789236068726
MS_partA_flow_mdk_s1,0,6,0.43465688824653625
MS_partA_flow_mdk_s1,0,7,0.429958701133728
MS_partA_flow_mdk_s1,0,8,0.45427629351615906
MS_partA_flow_mdk_s1,0,9,0.46709686517715454
MS_partA_flow_mdk_s1,0,10,0.43223944306373596
MS_partA_flow_mdk_s1,0,11,0.43463101983070374
MS_partA_flow_mdk_s1,0,12,0.42089536786079407
MS_partA_flow_mdk_s1,0,13,0.4083339273929596
MS_partA_flow_mdk_s1,0,14,0.41640418767929077
MS_partA_flow_mdk_s1,0,15,0.4070045053958893
MS_partA_flow_mdk_s1,0,16,0.40454620122909546
MS_partA_flow_mdk_s1,0,17,0.3984188139438629
MS_partA_flow_mdk_s1,0,18,0.38850700855255127
MS_partA_flow_mdk_s1,0,19,0.3973623514175415
MS_partA_flow_mdk_s1,0,20,0.38380706310272217
MS_partA_flow_mdk_s1,0,21,0.38486284017562866
MS_partA_flow_mdk_s1,0,22,0.38359272480010986
MS_partA_flow_mdk_s1,0,23,0.37871360778808594
MS_partA_flow_mdk_s1,0,24,0.3806518614292145
MS_partA_flow_mdk_s1,0,25,0.37360718846321106
MS_partA_flow_mdk_s1,0,26,0.3693086802959442
MS_partA_flow_mdk_s1,0,27,0.3710751235485077
MS_partA_flow_mdk_s1,0,28,0.3711845278739929
MS_partA_flow_mdk_s1,0,29,0.3626870810985565
MS_partA_flow_mdk_s1,0,30,0.3619120717048645
MS_partA_flow_mdk_s1,0,31,0.35905617475509644
MS_partA_flow_mdk_s1,0,32,0.3509490191936493
MS_partA_flow_mdk_s1,0,33,0.3534461259841919
MS_partA_flow_mdk_s1,0,34,0.3466464579105377
MS_partA_flow_mdk_s1,0,35,0.36296600103378296
MS_partA_flow_mdk_s1,0,36,0.3623957633972168
MS_partA_flow_mdk_s1,0,37,0.362932413816452
MS_partA_flow_mdk_s1,0,38,0.35769766569137573
MS_partA_flow_mdk_s1,0,39,0.3502015173435211
MS_partA_flow_mdk_s1,0,40,0.346658319234848
MS_partA_flow_mdk_s1,1,1,0.4480140209197998
MS_partA_flow_mdk_s1,1,2,0.4662482738494873
MS_partA_flow_mdk_s1,1,3,0.4313161373138428
MS_partA_flow_mdk_s1,1,4,0.3991367518901825
MS_partA_flow_mdk_s1,1,5,0.3576326370239258
MS_partA_flow_mdk_s1,1,6,0.3328532576560974
MS_partA_flow_mdk_s1,1,7,0.34091123938560486
MS_partA_flow_mdk_s1,1,8,0.31672510504722595
MS_partA_flow_mdk_s1,1,9,0.33375459909439087
MS_partA_flow_mdk_s1,1,10,0.3083382546901703
MS_partA_flow_mdk_s1,1,11,0.3220338523387909
