timestamp,kind,run,out_dir,arch,hidden_dim,num_layers,hops_per_layer,mdk_use,data_root,seed,max_epochs,epochs_run,best_val_loss,best_epoch,train_seconds,split,checkpoint,n_scenarios,rmse,mae,csi_0p05,csi_0p3,report
2026-09-13T21:05:37,eval,L3_B1_paper_swegnn_20260913_202721,runs/L3_B1_paper_swegnn_20260913_202721,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L3_B1_paper_swegnn_20260913_202721/last.pt,5,2.582921;220.951104,1.892972;186.573642,0.9996,0.9991,runs/L3_B1_paper_swegnn_20260913_202721/eval_val_scenarios_1d.json
2026-09-13T21:13:16,train,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,baseline_gcn,64,6,1,False,data/scenarios_partA_v2,0,150,113,15.150981,14,602,,,,,,,,runs/partA_paper_gcn_20260913_202615/history.json
2026-09-13T21:13:26,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/partA_paper_gcn_20260913_202615/last.pt,49,35.378021;37.572420,30.721394;25.195640,0.9836,0.5972,runs/partA_paper_gcn_20260913_202615/eval_test.json
2026-09-13T21:13:32,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,A2_test,runs/partA_paper_gcn_20260913_202615/last.pt,19,35.435523;47.837498,30.836919;30.414709,0.9709,0.3834,runs/partA_paper_gcn_20260913_202615/eval_A2_test.json
2026-09-13T21:13:37,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,A3_test,runs/partA_paper_gcn_20260913_202615/last.pt,10,35.248507;24.389319,30.675380;16.166347,0.9986,0.8276,runs/partA_paper_gcn_20260913_202615/eval_A3_test.json
2026-09-13T21:13:44,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/partA_paper_gcn_20260913_202615/last.pt,7,127.344052;401.690286,110.123689;352.006923,1.0000,0.9955,runs/partA_paper_gcn_20260913_202615/eval_test_family_mdx.json
2026-09-13T21:13:48,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/partA_paper_gcn_20260913_202615/last.pt,6,24.737919;2.005352,21.652988;1.698114,1.0000,0.9911,runs/partA_paper_gcn_20260913_202615/eval_test_family_zxh.json
2026-09-13T21:13:53,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/partA_paper_gcn_20260913_202615/last.pt,6,50.647360;14.919651,44.147738;9.104022,1.0000,0.9953,runs/partA_paper_gcn_20260913_202615/eval_test_family_wqh.json
2026-09-13T21:13:59,eval,partA_paper_gcn_20260913_202615,runs/partA_paper_gcn_20260913_202615,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/partA_paper_gcn_20260913_202615/last.pt,5,65.741301;220.619131,57.039122;186.294827,0.9996,0.9988,runs/partA_paper_gcn_20260913_202615/eval_val_scenarios_1d.json
2026-09-13T21:32:06,train,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,baseline_gat,64,6,1,False,data/scenarios_partA_v2,0,150,100,15.145656,1,1083,,,,,,,,runs/partA_paper_gat_20260913_202615/history.json
2026-09-13T21:32:24,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/partA_paper_gat_20260913_202615/last.pt,49,1.918158;38.760388,1.744273;25.761044,0.1583,0.1321,runs/partA_paper_gat_20260913_202615/eval_test.json
2026-09-13T21:32:33,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,A2_test,runs/partA_paper_gat_20260913_202615/last.pt,19,1.600026;43.729882,1.430430;24.554387,0.1967,0.2242,runs/partA_paper_gat_20260913_202615/eval_A2_test.json
2026-09-13T21:32:40,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/scenarios_partA_v2,,,,,,,A3_test,runs/partA_paper_gat_20260913_202615/last.pt,10,2.294556;32.683593,2.014183;24.710387,0.1321,0.0579,runs/partA_paper_gat_20260913_202615/eval_A3_test.json
2026-09-13T21:32:51,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/partA_paper_gat_20260913_202615/last.pt,7,8.583587;444.499847,7.757012;397.244760,0.0819,0.0610,runs/partA_paper_gat_20260913_202615/eval_test_family_mdx.json
2026-09-13T21:32:56,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/partA_paper_gat_20260913_202615/last.pt,6,1.284899;8.597347,1.130646;7.549537,0.4671,0.3673,runs/partA_paper_gat_20260913_202615/eval_test_family_zxh.json
2026-09-13T21:33:03,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/partA_paper_gat_20260913_202615/last.pt,6,2.838243;31.995088,2.410130;23.001718,0.3007,0.2445,runs/partA_paper_gat_20260913_202615/eval_test_family_wqh.json
2026-09-13T21:33:09,eval,partA_paper_gat_20260913_202615,runs/partA_paper_gat_20260913_202615,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/partA_paper_gat_20260913_202615/last.pt,5,4.475398;231.132277,3.787391;198.354499,0.3653,0.3110,runs/partA_paper_gat_20260913_202615/eval_val_scenarios_1d.json
2026-09-13T21:41:04,train,L3_B1_paper_flow_mdk_20260913_202721,runs/L3_B1_paper_flow_mdk_20260913_202721,flow_mdk,64,6,1,True,data/real_cases/family_all,0,150,112,121.199912,13,2123,,,,,,,,runs/L3_B1_paper_flow_mdk_20260913_202721/history.json
2026-09-13T21:41:15,eval,L3_B1_paper_flow_mdk_20260913_202721,runs/L3_B1_paper_flow_mdk_20260913_202721,,,,,,data/real_cases/family_all,,,,,,,test,runs/L3_B1_paper_flow_mdk_20260913_202721/last.pt,19,0.874800;154.618051,0.681434;113.959034,1.0000,0.9941,runs/L3_B1_paper_flow_mdk_20260913_202721/eval_test.json
2026-09-13T21:41:21,eval,L3_B1_paper_flow_mdk_20260913_202721,runs/L3_B1_paper_flow_mdk_20260913_202721,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L3_B1_paper_flow_mdk_20260913_202721/last.pt,5,1.621456;394.479769,1.258394;289.076041,0.9996,0.9986,runs/L3_B1_paper_flow_mdk_20260913_202721/eval_val_scenarios_1d.json
2026-09-13T22:12:38,train,L3_B1_paper_ssgc_20260913_202721,runs/L3_B1_paper_ssgc_20260913_202721,flow_mdk,64,6,1,True,data/real_cases/family_all,0,150,103,128.394811,4,1873,,,,,,,,runs/L3_B1_paper_ssgc_20260913_202721/history.json
2026-09-13T22:12:48,eval,L3_B1_paper_ssgc_20260913_202721,runs/L3_B1_paper_ssgc_20260913_202721,,,,,,data/real_cases/family_all,,,,,,,test,runs/L3_B1_paper_ssgc_20260913_202721/last.pt,19,0.851693;156.792320,0.672385;135.846635,1.0000,0.9936,runs/L3_B1_paper_ssgc_20260913_202721/eval_test.json
2026-09-13T22:12:54,eval,L3_B1_paper_ssgc_20260913_202721,runs/L3_B1_paper_ssgc_20260913_202721,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L3_B1_paper_ssgc_20260913_202721/last.pt,5,1.684438;221.851771,1.038294;187.400160,0.9996,0.9970,runs/L3_B1_paper_ssgc_20260913_202721/eval_val_scenarios_1d.json
